Sexo;Duración;Destino;Tipo de dato;Periodo;Total
Mujeres;Total;Total;Porcentaje sobre personas de la categoría;2022;66,84
Mujeres;Total;Total;Porcentaje sobre personas de la categoría;2021;53,8
Mujeres;Total;Total;Porcentaje sobre personas de la categoría;2020;63,75
Mujeres;Total;Total;Porcentaje sobre personas de la categoría;2019;69,68
Mujeres;Total;Total;Porcentaje sobre personas de la categoría;2018;67,49
Mujeres;Total;Total;Porcentaje sobre personas de la categoría;2017;66,38
Mujeres;Total;Total;Porcentaje sobre personas de la categoría;2016;66,49
Mujeres;Total;Total;Porcentaje sobre personas de la categoría;2015;62,99
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2023;51,76
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2022;52,55
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2021;50,16
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2020;50,62
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2019;50,7
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2018;50,67
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2017;51,24
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2016;51,16
Mujeres;Total;Total;Porcentaje sobre el total de viajeros;2015;50,81
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2023;44,9
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2022;48,37
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2021;47,31
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2020;43,86
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2019;43,29
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2018;43,25
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2017;43,14
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2016;45,3
Mujeres;Total;Solo España;Porcentaje sobre personas de la categoría;2015;43,12
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2023;33,31
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2022;38,02
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2021;44,11
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2020;34,83
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2019;31,5
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2018;32,47
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2017;33,3
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2016;34,86
Mujeres;Total;Solo España;Porcentaje sobre el total de viajeros;2015;34,78
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2023;5,64
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2022;4,3
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2021;2,13
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2020;3,99
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2019;5,46
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2018;6
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2017;5,23
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2016;5,3
Mujeres;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2015;5,47
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2023;4,18
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2022;3,38
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2021;1,98
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2020;3,17
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2019;3,97
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2018;4,5
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2017;4,04
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2016;4,08
Mujeres;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2015;4,42
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2023;19,23
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2022;14,18
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2021;4,36
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2020;15,89
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2019;20,93
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2018;18,24
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2017;18,02
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2016;15,89
Mujeres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2015;14,39
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2023;14,27
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2022;11,15
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2021;4,07
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2020;12,62
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2019;15,23
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2018;13,69
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2017;13,91
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2016;12,23
Mujeres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2015;11,6
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2023;55,67
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2022;53,15
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2021;36,75
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2020;48,15
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2019;53,28
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2018;49,17
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2017;51,61
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2016;47,25
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2015;45,21
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2023;41,3
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2022;41,78
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2021;34,26
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2020;38,24
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2019;38,77
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2018;36,92
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2017;39,84
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2016;36,36
Mujeres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2015;36,47
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;35,32
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2022;38,12
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2021;32,23
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2020;32,34
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2019;31,81
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2018;30,78
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2017;33,21
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2016;32,04
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2015;30,92
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2023;26,21
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2022;29,96
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2021;30,05
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2020;25,68
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2019;23,15
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2018;23,11
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2017;25,63
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2016;24,65
Mujeres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2015;24,94
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2023;2,57
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2022;1,87
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2021;..
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2020;1,52
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2019;2,08
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2018;2,04
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2017;1,77
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2016;1,24
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2015;1,62
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2023;1,9
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2022;1,47
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2021;..
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2020;1,21
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2019;1,51
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2018;1,53
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2017;1,37
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2016;0,95
Mujeres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2015;1,31
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2023;17,78
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2022;13,16
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2021;3,87
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2020;14,3
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2019;19,39
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2018;16,35
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2017;16,63
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2016;13,97
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2015;12,66
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2023;13,19
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2022;10,34
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2021;3,61
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2020;11,35
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2019;14,11
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2018;12,28
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2017;12,83
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2016;10,75
Mujeres;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2015;10,22
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2023;54,89
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2022;50,37
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2021;39,74
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2020;49,06
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2019;55,45
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2018;53,35
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2017;51,48
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2016;51,72
Mujeres;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2015;48,73
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2023;40,73
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2022;39,59
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2021;37,05
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2020;38,96
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2019;40,35
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2018;40,06
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2017;39,74
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2016;39,8
Mujeres;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2015;39,31
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2023;32,26
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2022;33,63
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2021;33,96
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2020;30,78
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2019;31,06
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2018;31,16
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2017;30,16
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2016;31,78
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre personas de la categoría;2015;30,27
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2023;23,93
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2022;26,43
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2021;31,67
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2020;24,45
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2019;22,6
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2018;23,4
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2017;23,28
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2016;24,45
Mujeres;De 4 o más noches;Solo España;Porcentaje sobre el total de viajeros;2015;24,41
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2023;4,57
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2022;3,61
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2021;1,76
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2020;3,11
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2019;4,49
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2018;4,92
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2017;4,41
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2016;4,63
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre personas de la categoría;2015;4,79
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2023;3,39
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2022;2,84
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2021;1,64
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2020;2,47
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2019;3,27
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2018;3,69
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2017;3,41
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2016;3,56
Mujeres;De 4 o más noches;Solo extranjero;Porcentaje sobre el total de viajeros;2015;3,86
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2023;18,06
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2022;13,13
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2021;4,01
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2020;15,16
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2019;19,9
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2018;17,27
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2017;16,91
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2016;15,31
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre personas de la categoría;2015;13,67
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2023;13,4
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2022;10,32
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2021;3,74
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2020;12,04
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2019;14,48
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2018;12,97
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2017;13,05
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2016;11,78
Mujeres;De 4 o más noches;España y extranjero;Porcentaje sobre el total de viajeros;2015;11,03
